Kecamatan,Luas Panen,Produksi,Rata-rata,
KANDANGSERANG,2857,14315,49,11
PANINGGARAN,2117,8065,46,98
LEBAKBARANG,845,4093,50,5
PETUNGKRIYONO,515,1944,45,65
TALUN,2309,10879,51,62
DORO,1906,14294,52,77
KARANGANYAR,2663,28002,50,74
KAJEN,5607,43459,53,11
KESESI,7783,20167,53,59
SRAGI,3643,12236,54,45
BOJONG,2081,21974,54,21
WONOPRINGGO,4048,21974,53,39
KEDUNGWUNI,875,4964,52,35
BUARAN,1688,7898,52,81
TIRTO,1894,12077,53,36
WIRADESA,557,3238,51,5
SIWALAN,708,3821,52,63
KARANGDADAP,853,4371,53,8
WONOKERTO,313,1347,53,43
Jumlah,43262,239118,55,27206324
